trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,11,-46.635350722567594,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,1,-105.89794557555818,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,0,-135.78851450625388,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-111.00936159963575,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-25.107758640042277,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-83.35145143859248,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-109.61720753941275,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-98.70944264270794,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-84.16052212594865,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",20,10,-25.98661888375117,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,-94.30016084877201,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-109.1377555082556,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-70.2727127664625,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,13,-80.96709169933847,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,3,-82.765185406241,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-163.73825198129668,"{0: 7, 1: 2, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,2,-52.16371270040136,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-68.7704094301405,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9093729344682314}",20,0,-55.446827815888575,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-144.8863700639688,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9003245225862656}",30,0,-138.37761870033523,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-73.02888567815181,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8913661439068313}",20,0,-96.186538406185,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-97.376031326553,"{0: 21, 1: 3, 2: 2, 3: 4, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8824969025845955}",30,10,-152.49217801208079,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-117.0158206461341,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8737159116880344}",20,0,-45.03498347563136,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-21.257272039341753,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8650222931107413}",20,0,-84.93223603836348,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,14,-1.8885007220839425,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.8564151774836135}",20,0,-12.149911595199754,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,3,-45.46246378424633,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.8478937040879159}",25,0,-105.30168500587986,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,16,-76.93708263671732,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.8394570207692074}",20,0,-57.90071515391394,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-69.21886111896244,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8311042838521256}",30,0,-175.13821652463722,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-30.27100965143689,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8228346580560184}",25,0,-90.0463448382034,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-107.27325579335448,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.8146473164114145}",20,0,-58.345164269609924,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-89.09844249908768,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.8065414401773269}",25,0,-114.15766835729218,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,1,-259.1634535820346,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 4}",1
45,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,12,-23.161698230392084,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-102.67049724486775,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7905708496287356}",20,0,-3.65185306508108,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-88.13804633203189,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7827045382418681}",30,0,-34.75799498827339,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,7,-163.96943458682694,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 3}",1
51,False,"{'a': 0.5, 'e': 0.774916497961081}",20,7,-37.454707011963926,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,0,-193.37147636961828,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
53,False,"{'a': 0.5, 'e': 0.7672059499758557}",20,0,-25.99466508323864,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,11,14.34390877169421,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7595721232249685}",25,0,-153.0106193635319,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,10,-5.421535800476878,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7520142543193826}",20,0,-109.19089030969573,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-124.9998150346759,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
