trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999000499833375}",25,0,-200.01691337362033,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",20,0,-151.046913868854,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-108.92079737049816,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9960079893439915}",30,0,-215.45345258094673,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-34.77914369608141,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9940179640539353}",25,0,-101.33240039314818,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9930244429332351}",20,0,-183.01386524366953,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,0,-139.28437681242104,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-115.37611473956272,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-224.60593936781177,"{0: 14, 1: 2, 2: 11, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9890602787753687}",20,0,-153.11043120684687,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-103.45711977722974,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9870841350202876}",25,0,-53.19056073567441,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9860975442628619}",30,0,-201.33483710724087,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-50.3264031795199,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,0,-37.760367163703485,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9831436846349096}",20,0,-112.79294454913108,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,11,-25.035718429672908,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.981179362242806}",20,0,-120.73215682967613,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-44.67245144532472,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-140.4167791468952,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-126.07836497072137,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-73.90559459793288,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-62.79143101198371,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-147.88525127722104,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-70.3443024915827,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,6,-135.8487519466044,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 2}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-152.91450871739065,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-153.3388151701684,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-167.88094324809487,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
